2025-10-05T02:51:52Z	FAIL (sandbox pip/network restriction while attempting Python 3.11 venv)	python - <<"PY" (attempt to create isolated venv for pytest)
2025-10-05T03:02:10Z	FAIL (PyQt abort in sandbox)	python scripts/launch_mission_control.py -h
2025-10-05T02:52:10Z	BLOCKED (requires live metrics stream; run aborted after timeout)	python scripts/launch_tui.py --metrics-endpoint http://127.0.0.1:9090/api/metrics
2025-10-05T02:52:20Z	BLOCKED (no metrics server running; connection refused)	python scripts/query_metric_endpoint.py http://127.0.0.1:9090/api/metrics/histogram/latency operations.overall
2025-10-05T02:52:21Z	BLOCKED (no metrics server running; connection refused)	python scripts/query_metric_endpoint.py http://127.0.0.1:9090/api/metrics/histogram/probe buckets
2025-10-05T02:52:21Z	BLOCKED (no metrics server running; connection refused)	python scripts/query_metric_endpoint.py http://127.0.0.1:9090/api/metrics/heatmap
2025-10-05T20:48:37Z	OK (server started; manual stop required)	python hashmap_cli.py serve --port 9090
2025-10-05T21:05:22Z	OK (server started; manual stop required)	python hashmap_cli.py serve --source runs/metrics.ndjson --compare results/ab/demo/comparison.json --port 9093
2025-10-05T21:10:15Z	OK	python hashmap_cli.py verify-snapshot --in snapshots/rh_before.pkl.gz --verbose
2025-10-05T21:10:16Z	OK	python hashmap_cli.py verify-snapshot --in snapshots/chain.pkl.gz --verbose
2025-10-05T21:10:17Z	OK	python hashmap_cli.py --mode fast-lookup put K2 V2
2025-10-05T21:10:18Z	OK	python hashmap_cli.py --mode fast-lookup del K2
2025-10-05T21:10:19Z	OK	python hashmap_cli.py --mode adaptive put K3 V3
2025-10-05T21:10:20Z	OK	python hashmap_cli.py --mode adaptive put foo bar
2025-10-05T21:10:21Z	OK	python hashmap_cli.py --mode adaptive put baz qux
2025-10-05T21:10:22Z	OK	python hashmap_cli.py verify-snapshot --in snapshots/demo.pkl.gz --verbose
2025-10-05T21:10:23Z	EXPECTED FAIL (chaining snapshot cannot be compacted)	python hashmap_cli.py compact-snapshot --in snapshots/demo.pkl.gz --out snapshots/demo_compacted.pkl.gz --compress
2025-10-05T21:11:04Z	OK	python hashmap_cli.py profile --csv data/workloads/demo.csv --then get A
2025-10-05T21:11:05Z	OK	python hashmap_cli.py verify-snapshot --in snapshots/rh_fixed.pkl.gz --verbose
2025-10-05T21:11:52Z	OK	python hashmap_cli.py generate-csv --outfile workload.csv --ops 50000 --read-ratio 0.8
2025-10-05T21:11:53Z	FAIL (missing JSON summary path)	python hashmap_cli.py --config config.toml run-csv --csv workload.csv --json
2025-10-05T21:13:31Z	OK	python hashmap_cli.py --config config.toml run-csv --csv workload.csv --json-summary-out results/json/workload_config.json
2025-10-05T21:15:13Z	OK	python hashmap_cli.py --mode adaptive run-csv --csv data/workloads/w_uniform.csv --snapshot-out runs/phase2/adaptive_snapshot.pkl.gz --compress --json-summary-out results/json/phase2_uniform_snapshot.json --latency-sample-k 500 --latency-sample-every 64
2025-10-05T21:15:14Z	OK	python hashmap_cli.py verify-snapshot --in snapshots/rh_before.pkl.gz --repair --out runs/phase2/rh_repair_phase2.pkl.gz --verbose
2025-10-05T21:15:15Z	OK	python hashmap_cli.py mission-control -h
2025-10-05T21:15:16Z	FAIL (PyQt abort in headless environment)	python hashmap_cli.py mission-control
2025-10-05T21:15:16Z	FAIL (PyQt abort in headless environment)	python -m adhash.mission_control
2025-10-05T21:17:25Z	BLOCKED (requires live metrics stream; timed out)	python -m adhash.tui --metrics-endpoint http://127.0.0.1:9090/api/metrics
2025-10-05T21:19:30Z	FAIL (ruff hits embedded test fixture files; see check/ directory)	make lint
2025-10-05T21:20:01Z	FAIL (mypy missing Textual stubs + no-redef guard after benchmark invoker)	make type
2025-10-05T21:20:02Z	FAIL (pytest requires Python 3.11+ and test fixture cleanup)	make test
2025-10-05T21:24:31Z	OK	make smoke
2025-10-06T01:27:27Z	OK	yes '' | head -n 200 | python hashmap_cli.py config-wizard --outfile runs/config_wizard_auto.toml
2025-10-06T01:27:34Z	OK	yes '' | head -n 200 | python hashmap_cli.py config-edit --infile runs/config_wizard_auto.toml --outfile runs/config_edit_auto.toml --save-preset auto-preset --presets-dir runs/presets --force
2025-10-06T01:30:19Z	TIMEOUT (offscreen launch hung; requires interactive GUI session)	QT_QPA_PLATFORM=offscreen python hashmap_cli.py mission-control
2025-10-06T01:32:31Z	TIMEOUT (TUI waiting for metrics; requires interactive session)	python scripts/launch_tui.py --metrics-endpoint http://127.0.0.1:9090/api/metrics
2025-10-06T01:32:57Z	FAIL (ruff error on check/ macOS resource files)	make lint
2025-10-06T01:33:21Z	FAIL (mypy duplicate _MainThreadInvoker definition)	make type
2025-10-06T01:33:28Z	FAIL (pytest collects duplicate modules from check/ fixture tree)	make test
2025-10-06T01:35:54Z	OK	python hashmap_cli.py --mode adaptive run-csv --csv data/workloads/demo.csv --metrics-out-dir runs/metrics_demo --metrics-max-ticks 64 --json-summary-out results/json/demo_metrics_session.json --latency-sample-k 200 --latency-sample-every 16
2025-10-06T01:36:26Z	FAIL (PermissionError binding port 9090 under sandbox)	python hashmap_cli.py serve --port 9090 --source runs/metrics_demo/metrics.ndjson
2025-10-06T01:36:32Z	FAIL (connection refused; metrics server unavailable)	curl --compressed http://127.0.0.1:9090/healthz > runs/metrics_demo/healthz.json
2025-10-06T01:36:36Z	FAIL (connection refused; metrics server unavailable)	curl --compressed http://127.0.0.1:9090/api/metrics > runs/metrics_demo/metrics_summary.json
2025-10-06T01:36:39Z	FAIL (connection refused; metrics server unavailable)	curl --compressed http://127.0.0.1:9090/api/metrics/histogram/latency > runs/metrics_demo/latency_hist.json
2025-10-06T01:36:42Z	FAIL (connection refused; metrics server unavailable)	curl --compressed http://127.0.0.1:9090/api/metrics/histogram/probe > runs/metrics_demo/probe_hist.json
2025-10-06T01:36:47Z	FAIL (connection refused; metrics server unavailable)	curl --compressed http://127.0.0.1:9090/api/metrics/heatmap > runs/metrics_demo/heatmap.json
